",",商品,全名,",",用户,评论,时间,",",用户,评论,内容
0,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2017,-,11,-,25, ,18,:,25,:,40,",",没话说,，,小伙伴,双,11,前,在,某,B, ,买,的,，,我,双,11,京东,下,的,单,，,只,比,他,贵,几百,，,但是,我,比,他,多,了,一个,京东,的,售后,支撑,，,至少,我,心里,是,放心,的,，,另外,第一次,体验,京尊达,&,hellip,;,好像,真的,是,专车,，,因为,送货,的,小哥,是,正装白,手套,，,哈哈,，,让,我,虚荣心,得到,了,满足,，,每个,电商,都,有,或多或少,的,毛病,，,反正,我,相信,京东,，,确实,不行,还有,京东,售后,嘛,，,退,呗,，,换,呗,，,最后,一点,希望,京东,不要,放弃,老客户,，,不要,一门心思,的,发展,plus,会员,了,，,我们,这些,老客户,给,你,的,支持,不必,买,你,一个,会员,少,吧
1,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2017,-,12,-,07, ,00,:,45,:,30,",",完全,被,它,的,颜值,征服,了,，,特意,用,相机,拍,了,一组,照片,，,对于,喜欢,摄影,的,我,来说,，,单反,一直,是,我,的,小老婆,，,现在,MacBook, ,pro,是,我,的,小,小老婆,了,，,拍照,前期,是,谱曲,后期,是,演奏,，,一定,要,有,一个,好,的,后期,输出设备,，,Retina,屏,简直,惊艳,到,爆,。,之前,看,大家,都,在,评论,说,触控板,很,好,用,，,没,亲自,体验,之前,觉得,大家,在,夸大其词,，,现在,简直,爱上,这块,超大,触控板,了,，,单手操作,的,效率,可以,媲美,触控屏,，,可以,完全,抛弃,鼠标,。,第一次,开机,的,时候,默认,桌面壁纸,和,店铺,首页,图片,还有,大家,晒单,的,照片,壁纸,不,一样,，,检查,了,序列号,是,没,问题,的,，,电池,循环,次数,1,，,我,猜,应该,是,后来,新,生产,的,机器,都,是,这个,壁纸,吧,，,不,知道,大家,有没有,和,我,一样,的,。,最后,，,花,了,很多,钱,买,了,一个,电子产品,，,贵,肯定,是,有,贵,的,道理,，,能用,它,创造,出,价值,来,就是,值得,的,。
83,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,22, ,18,:,27,:,19,",",之前,计划,买,小米,游戏,本顶配,8999,，,对比,了,MacBook, ,Pro, ,最低,配,京东,卖,9288,，,小米,刚,开始,做,笔记本,，,苹果,做,了,很多年,了,，,而且,苹果,的,外观,真的,是,特别,耐看,，,最后,还是,选,了,苹果,。
84,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,20, ,23,:,57,:,00,",",还,在,测试, ,自动,收货,了,哈,?, ,。,京东,自营,值得,信赖, ,。,没有,大,问题,、,不过,桌面上,的,文件,在,第一,关机,重开,的,时候,消失,了,了, ,之后,没,出过,问题,。,不错, ,颜值,很,高,！
85,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,21, ,00,:,10,:,49,",",小巧,精致,，,携带方便,。,外出,的,时候,比带,15,寸,的,省劲,，,也,能装,设计,软件,。,也,能,炒币,。,速度,也,可以,。, ,视频,与,照片,就,不,拍,了,，,毕竟,商品信息,里,拍,的,更,专业,。
86,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,19, ,18,:,36,:,01,",",物流,很快,，,包装,好,，,非常,满意,！
87,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,20, ,16,:,16,:,54,",",此,用户,未填写,评价,内容
88,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,03,-,08, ,18,:,04,:,15,",",前,几天,还,在,纠结,是,买,13,还是,买,15,寸,，,现在,发现,13,分是,完全,合适,的,，,15,分太大,，,不,方便,携带,15,分,应用,于,哪些,特别,专业,的,场合
89,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,22, ,23,:,50,:,46,",",东西,不错,，,系统,不,习惯,，,适应,要,很长,一段时间,了,。,系统,很多,坑,啊,，,到处,都,要钱,，,怪不得,苹果,这么,赚钱,。,要,花钱,的,全,不要
90,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,21, ,21,:,01,:,56,",",体验,过,了,，,不,喜欢,这个,键盘,，,似有,似,无,的,，,手感,不好,。,别的,都,挺,好,，,屏幕,满分,，,系统,满分,，,偶尔,崩溃,，,发热,厉害,。
91,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,19, ,09,:,17,:,23,",",收到,以后,用,了,一个月,才,来,评价,的,，,手感,、,质感,都,很,好,，,平时,作图,用,，,反应速度,很快,，,正好,降价,的,时候,买,的,，,感觉,自己,赚,了
92,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,19, ,17,:,01,:,42,",",买,的,时候,没有,银色,的,，,就,买,了,深空,色,。,结果,没,过,两天,搞,活动,，,只有,银色,的,降,了,一千多,，,好,后悔,，,买,的,时候,谨慎,些,就,好,了,。
93,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,22, ,10,:,29,:,34,",",公司,买,的,，,不,知道,好不好,，,公司,非,让,用,，,公司,买,的,，,不,知道,好不好,，,公司,非,让,用,，,公司,买,的,，,不,知道,好不好,，,公司,非,让,用,！
94,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,21, ,00,:,48,:,08,",",一直,信任,京东,，,东西,有,保障,，,特别,是,物流,和,售后,值得,表扬,。,系统,我点,用不惯,慢慢,摸索,吧,，,好评
95,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,21, ,19,:,16,:,22,",",你,知道,多少,钱,吗,？,所以,质量,就,不用说,了,，,我,说,优惠,了,500,你们,信,吗,，,嘿嘿,，,京东,真是,快
96,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,21, ,05,:,07,:,07,",",质量,很,好,，,颜色,很,喜欢,，,包装,完整,，,很,喜欢,，,主要,是,不用,自己,花钱买,，,一直,关住,很,久,了
97,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,19, ,07,:,46,:,03,",",纠结,了,好久,有没有,新款,，,刚买,了,一个月,就,出,了,，,再,考虑,换,新款,，,有,没,~,，,还,没用过
98,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,19, ,22,:,50,:,15,",",刚,收到,货,，,等待,使用,后,在,继续,评论,，,外包装,有些,破损,不过,里面,包装,完好,，,值得,欣慰,。
99,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,21, ,09,:,36,:,29,",",非常,好,，,用,了,一个,星期,了,，,没,问题,，,AppleCare,也,是,按,激活,当天,算,的
100,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,22, ,21,:,20,:,18,",","""",高颜值,，,手感,很,好,，,运行,快,，,男生女生,都,适合,！
京东,快递,就是,赞,?,?,""""
101,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,19, ,09,:,01,:,45,",",没什么,好,说,的,，,买,的,都,知道,，,除了,官网,自营,是,最佳,选择,，,还,在,路上,就,又,降价,了,，,联系,客服,保价,成功
102,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,18, ,21,:,39,:,19,",",其实,还是,很,不错,的,，,第一台,Mac,，,现在,还,不,大会,用,，,京东,一直,是,我,的,首选
103,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,21, ,21,:,52,:,08,",",很,不错, ,也,是,下,了,很大,的,决心,才,买,的, ,第一次,从,网上,买,这么,贵,的,东西, ,希望,不要,辜负,了,我,的,期望
104,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,19, ,07,:,32,:,25,",",很,好,很,喜欢
105,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,21, ,16,:,50,:,54,",",不错,，,很,好,。,用,起来,高大,上,。,用于,开发,，,性价比,很,高,，,值得,推荐,！
106,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,21, ,16,:,02,:,48,",",还,可以,，,反应,挺,灵敏,的,，,还,在,逐渐,摸索,中,。,希望,可以,多,坚持,几年,。
107,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,19, ,23,:,40,:,01,",",到,目前为止,没有,发现,问题, ,送货,速度,快, ,自提,态度,好, ,京东,618
108,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,22, ,08,:,51,:,22,",",产品,非常,好,，,我,非常,喜欢,，,下次,还会,再,买,。,京东,购物,就是,放心,。
109,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,22, ,14,:,11,:,57,",",用,了,一个月,来,评价,的,正品,，,比,之前,电脑,快,多,了,，,连接,centos,更加,便捷,点赞,棒棒,的
110,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,22, ,14,:,59,:,44,",",很棒,，,很赞,很,不错,，,物流,很快,，,客服,态度,很棒,，,很,满意,的,一次,购物,，,京东,值得,信赖,。
111,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,19, ,23,:,02,:,57,",",很,喜欢,，,特别,惊艳,，,还,在,摸索,功能,，,希望,能,越用,越,满意,。
112,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,19, ,00,:,16,:,13,",",不,戳,，,可以,，,价格,也,合适,，,6,嗯,好,能,再,便宜,点,更好,?
113,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,21, ,12,:,36,:,48,",",快递,没有,想象,中,的,那么,快,，,包装,也,比较,让,人,不,舒服,，,但,还是,不错,的,没有,损坏
114,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,19, ,09,:,54,:,00,",",送货,很,及时,，,还,没,来得及,拆开,使用,，,应该,不错,吧,?
115,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,19, ,16,:,07,:,55,",",品牌,日,下单,没有,纠结,什么,18,款,也,不,不,上,喜欢,就,好
116,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,18, ,22,:,17,:,01,",",帮,老公,买,的,，,反馈,说,开机,顺畅,，,超薄, ,颜值,高,、,就是,办公,软件,用,着,不,顺手
117,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,21, ,10,:,35,:,08,",","""",还,行
不过,买,了,马上,新版,发售
心里,有,一种,忧伤,""""
118,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,21, ,09,:,55,:,09,",",本子,大小,合适,，,性能,很,好,，,喜欢,这个,颜色,的,本子
119,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,21, ,13,:,42,:,17,",",收到,了,，,送货,的,很帅,也,很,专业,，,媳妇,超级,喜欢

